"UMAP1","UMAP2","Gene","is_core","deltaTE","Category"
-9.85616805526962,4.2245039581205,"TNMD",FALSE,-5.40022976753241,"Non-core"
3.49012490982643,-6.21946132524202,"DPM1",FALSE,0.050614547756641,"Non-core"
4.66766003680136,3.11586835972262,"SCYL3",FALSE,0.092914418485371,"Non-core"
2.59233987496699,5.56170669098513,"C1orf112",FALSE,0.154846917170514,"Non-core"
-0.444086537225651,7.53317486545945,"CFH",FALSE,0.721775287719371,"Non-core"
4.77018450011464,-5.27960440952801,"FUCA2",FALSE,0.068460751080682,"Non-core"
1.95990054569302,5.68511224392676,"GCLC",FALSE,0.115948518419772,"Non-core"
2.14527989974373,-2.73897548796132,"NFYA",FALSE,-0.292584068612522,"Non-core"
0.325330339171658,-2.28654846686893,"STPG1",FALSE,0.892573733448548,"Non-core"
4.97237792865034,4.80601834316016,"NIPAL3",FALSE,0.276069093714154,"Non-core"
-0.541298566743432,-7.50077552093756,"LAS1L",FALSE,-0.081827013523757,"Non-core"
-1.34567445489101,7.78114356389919,"SEMA3F",FALSE,0.25728190027668,"Non-core"
0.291697944232685,5.70353060648319,"ANKIB1",FALSE,-0.22968187340588,"Non-core"
2.49349507793067,-5.59902839309652,"CYP51A1",FALSE,0.211051669787044,"Non-core"
3.07278431205706,-2.07710225832422,"KRIT1",FALSE,-0.221088893973105,"Non-core"
2.09756830853441,-7.03208028451606,"RAD52",FALSE,0.00877797684678705,"Non-core"
-7.06164476440494,-5.69692513802427,"BAD",FALSE,-1.25852651849029,"Non-core"
0.223928673006972,-5.87075230453601,"LAP3",FALSE,0.251431807707134,"Non-core"
0.659752517519073,-8.16095214817988,"CD99",FALSE,-0.339115205073557,"Non-core"
-0.460264736807122,0.139778058352883,"HECW1",FALSE,-0.931578119309337,"Non-core"
6.27555394808273,-0.77085453720525,"MAD1L1",FALSE,-0.0184581346651264,"Non-core"
6.74982453735457,1.73272375805229,"LASP1",FALSE,0.218017886575735,"Non-core"
3.08980375104718,6.56729878916663,"SNX11",FALSE,0.395758459397101,"Non-core"
4.13555010937473,4.96360109519769,"M6PR",FALSE,0.214961792816173,"Non-core"
1.32878863771742,4.62233519091506,"KLHL13",FALSE,-0.021384094640403,"Non-core"
-0.337628783194001,6.19657013470238,"ICA1",FALSE,0.134418970346241,"Non-core"
-4.78306657447122,-7.67857287984335,"DBNDD1",FALSE,-0.59543653548132,"Non-core"
-1.0911628476431,6.10089578734388,"ALS2",FALSE,-0.20385363960195,"Non-core"
1.3684578048294,5.43195001987861,"CASP10",FALSE,-0.051109754200732,"Non-core"
